id,version,category,tier,priority,adoption_wave,adoption_status,side_effects,entrypoint,dependencies,decisions,contracts,pocs,profiles
storyworld-annotation-target,1.0.0,native-creative,second-wave,P1,C-specialist-and-later,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-annotation-target/SKILL.md,storyworld-contract-authoring;storyworld-fixture-authoring;storyworld-studio-surface,DEC-0047,AnnotationTarget,POC-01;POC-04;POC-05;POC-08,image.md;video.md;audio.md;document-graph-spatial.md
storyworld-evaluation-layer,1.0.0,evaluation,foundation,P0,B-product-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-evaluation-layer/SKILL.md,storyworld-fixture-authoring;storyworld-provider-model-evaluation;storyworld-studio-surface,DEC-0049,EvaluationPlan;EvaluationFinding;ApprovalInvalidation,POC-04;POC-05;POC-06;POC-08;POC-09;POC-12,
storyworld-studio-surface,1.0.0,studio,foundation,P0,B-product-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-studio-surface/SKILL.md,storyworld-repository-orientation,DEC-0040;DEC-0041;DEC-0046;DEC-0047,CreativeCommand;EditProposal;PreviewArtifact;CreativeDecision;AnnotationTarget,,conversational-workspace.md;canvas-and-timeline.md;operator-and-external-tools.md;publishing-runtime-commerce.md
storyworld-asset-custody-and-lineage,1.0.0,assets,foundation,P0,B-product-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-asset-custody-and-lineage/SKILL.md,storyworld-deterministic-media-worker;storyworld-rights-and-consent-review;storyworld-evaluation-layer,DEC-0048,AssetVersion;TransformationRecord;ExternalEditorReturn;ChannelPackage;RuntimeContentPackage,POC-03;POC-04;POC-05;POC-08,
storyworld-rights-and-consent-review,1.0.0,rights,second-wave,P1,C-specialist-and-later,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-rights-and-consent-review/SKILL.md,storyworld-contract-authoring;storyworld-evaluation-layer;storyworld-security-review,DEC-0036;DEC-0037;DEC-0044;DEC-0049,ProviderEgressDecision;EvaluationFinding;ApprovalInvalidation;PublicationAuthorization,,
storyworld-provider-adapter,1.0.0,providers,foundation,P0,B-product-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-provider-adapter/SKILL.md,storyworld-contract-authoring;storyworld-rights-and-consent-review;storyworld-asset-custody-and-lineage;storyworld-security-review,ADR-0015;DEC-0043;DEC-0044,GenerationRecipe;ProviderExecutionPlan;ProviderExecutionResult;ProviderCapabilityProfile;ProviderPolicy;ModelCapabilityApproval;CredentialBinding;CostPolicy,POC-02;POC-03;POC-13,openrouter.md;fal.md;provider-boundary.md
storyworld-provider-model-evaluation,1.0.0,providers,second-wave,P1,C-specialist-and-later,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-provider-model-evaluation/SKILL.md,storyworld-fixture-authoring;storyworld-security-review,DEC-0044;DEC-0049,ModelCapabilityApproval;ProviderCapabilityProfile;ProviderPolicy,POC-02;POC-04;POC-05,
storyworld-comfyui-workflow,1.0.0,providers,foundation,P1,C-specialist-and-later,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-comfyui-workflow/SKILL.md,storyworld-provider-adapter;storyworld-security-review;storyworld-fixture-authoring,DEC-0012;DEC-0045,WorkflowDefinition;WorkflowPromotion;ProviderExecutionPlan;ProviderExecutionResult,POC-07,workflow-registration.md;node-and-egress-security.md;hosted-endpoint-posture.md
storyworld-deterministic-media-worker,1.0.0,media-infrastructure,foundation,P0,B-product-foundation,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-deterministic-media-worker/SKILL.md,storyworld-security-review;storyworld-fixture-authoring,DEC-0048,TransformationRecord;AssetVersion;InterchangeProfile,POC-03;POC-05;POC-13,ffmpeg.md;openimageio.md;opencolorio.md;mediainfo-clamav.md;libvips-sharp.md
storyworld-external-editor-connector,1.0.0,external-tools,foundation,P1,C-specialist-and-later,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-external-editor-connector/SKILL.md,storyworld-asset-custody-and-lineage;storyworld-rights-and-consent-review;storyworld-security-review;storyworld-evaluation-layer,DEC-0047,ExternalEditorCheckout;ExternalEditorReturn;InterchangeProfile;ConversionLossReport;TransformationRecord,POC-08,blender.md;invokeai.md;kdenlive.md;resolve.md
storyworld-otio-editorial-interchange,1.0.0,external-tools,second-wave,P1,C-specialist-and-later,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-otio-editorial-interchange/SKILL.md,storyworld-external-editor-connector;storyworld-schema-evolution;storyworld-fixture-authoring,DEC-0047,EditorialHandoffPackage;EditorialReturnPackage;InterchangeProfile;ConversionLossReport,POC-05;POC-08,kdenlive.md;resolve.md
storyworld-publication-connector,1.0.0,delivery,second-wave,P1,C-specialist-and-later,generated_unadopted_baseline,external_effects_require_explicit_current_authorization,.agents/skills/storyworld-publication-connector/SKILL.md,storyworld-rights-and-consent-review;storyworld-security-review;storyworld-conformance-and-release,DEC-0050,ChannelPackage;PublicationAuthorization;PublicationJob;PublicationReceipt,POC-10,astro.md;instagram.md;x.md;tiktok.md
storyworld-publication-scheduler,1.0.0,delivery,second-wave,P1,C-specialist-and-later,generated_unadopted_baseline,external_effects_require_explicit_current_authorization,.agents/skills/storyworld-publication-scheduler/SKILL.md,storyworld-contract-authoring;storyworld-publication-connector;storyworld-security-review,DEC-0050,PublicationAuthorization;PublicationJob;PublicationReceipt,POC-10;POC-13,
storyworld-commerce-foundry-bridge,1.0.0,peer-system,second-wave,P1,C-specialist-and-later,generated_unadopted_baseline,external_effects_require_explicit_current_authorization,.agents/skills/storyworld-commerce-foundry-bridge/SKILL.md,storyworld-contract-authoring;storyworld-asset-custody-and-lineage;storyworld-rights-and-consent-review;storyworld-security-review,DEC-0051,CommerceFoundryBrief;StoryworldCommerceBundle;CommerceFoundryReceipt,POC-11,
storyworld-runtime-adapter,1.0.0,runtime,second-wave,P1,C-specialist-and-later,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-runtime-adapter/SKILL.md,storyworld-contract-authoring;storyworld-asset-custody-and-lineage;storyworld-evaluation-layer;storyworld-security-review,DEC-0052,RuntimeContentPackage;RuntimeReceipt;RuntimeContentOperation,POC-12,browser.md;godot.md
storyworld-cost-and-usage-accounting,1.0.0,governance,second-wave,P1,C-specialist-and-later,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-cost-and-usage-accounting/SKILL.md,storyworld-provider-adapter;storyworld-security-review,DEC-0044,CostPolicy;CredentialBinding;ProviderExecutionResult,POC-02;POC-03;POC-13,
storyworld-customer-managed-deployment,1.0.0,deployment,second-wave,P2,C-specialist-and-later,generated_unadopted_baseline,repository_local_as_authorized_by_current_task,.agents/skills/storyworld-customer-managed-deployment/SKILL.md,storyworld-security-review;storyworld-conformance-and-release;storyworld-cost-and-usage-accounting,DEC-0040;DEC-0053 or hosting successor,CredentialBinding;ProviderPolicy;AssetVersion,POC-13,
storyworld-security-review,1.0.0,security,foundation,P0,B-product-foundation,generated_unadopted_baseline,read_only,.agents/skills/storyworld-security-review/SKILL.md,storyworld-repository-orientation,DEC-0044;DEC-0045;DEC-0047;DEC-0048;DEC-0050;DEC-0052,,,
